Date,Open,High,Low,Close,Adj Close,Volume
2019-05-28,9800.000000,9825.000000,9600.000000,9725.000000,9591.433594,11469100
2019-05-29,9725.000000,9725.000000,9575.000000,9725.000000,9591.433594,3939700
2019-05-30,9725.000000,9725.000000,9725.000000,9725.000000,9591.433594,0
2019-05-31,9725.000000,9800.000000,9700.000000,9800.000000,9665.403320,7160600
2019-06-03,9800.000000,9800.000000,9800.000000,9800.000000,9665.403320,0
2019-06-04,9800.000000,9800.000000,9800.000000,9800.000000,9665.403320,0
2019-06-05,9800.000000,9800.000000,9800.000000,9800.000000,9665.403320,0
2019-06-06,9800.000000,9800.000000,9800.000000,9800.000000,9665.403320,0
2019-06-07,9800.000000,9800.000000,9800.000000,9800.000000,9665.403320,0
2019-06-10,9900.000000,9900.000000,9700.000000,9800.000000,9665.403320,4458100
2019-06-11,9900.000000,10150.000000,9875.000000,10150.000000,10010.596680,9200400
2019-06-12,10150.000000,10200.000000,10050.000000,10150.000000,10010.596680,4065500
2019-06-13,10200.000000,10200.000000,9950.000000,10000.000000,9862.656250,5328600
2019-06-14,10000.000000,10050.000000,9950.000000,9975.000000,9838.000000,3172900
2019-06-17,9975.000000,10050.000000,9875.000000,9950.000000,9950.000000,2591800
2019-06-18,9975.000000,10125.000000,9975.000000,10125.000000,10125.000000,16228900
2019-06-19,10200.000000,10200.000000,10100.000000,10125.000000,10125.000000,4624400
2019-06-20,10125.000000,10175.000000,10050.000000,10150.000000,10150.000000,4722800
2019-06-21,10250.000000,10250.000000,9950.000000,10025.000000,10025.000000,12671700
2019-06-24,10000.000000,10025.000000,9925.000000,9950.000000,9950.000000,1975100
2019-06-25,9975.000000,10100.000000,9875.000000,10000.000000,10000.000000,24636700
2019-06-26,9950.000000,10150.000000,9925.000000,10050.000000,10050.000000,4283700
2019-06-27,10050.000000,10175.000000,10000.000000,10150.000000,10150.000000,4233600
2019-06-28,10200.000000,10200.000000,10150.000000,10150.000000,10150.000000,5163200
2019-07-01,10175.000000,10175.000000,10025.000000,10125.000000,10125.000000,1810900
2019-07-02,10000.000000,10150.000000,9950.000000,10125.000000,10125.000000,2919400
2019-07-03,10000.000000,10125.000000,10000.000000,10125.000000,10125.000000,3023200
2019-07-04,10075.000000,10125.000000,10075.000000,10100.000000,10100.000000,1186700
2019-07-05,10025.000000,10150.000000,10025.000000,10100.000000,10100.000000,4857300
2019-07-08,10100.000000,10125.000000,10000.000000,10025.000000,10025.000000,3219300
2019-07-09,9950.000000,10125.000000,9950.000000,10100.000000,10100.000000,2957200
2019-07-10,10050.000000,10150.000000,10025.000000,10125.000000,10125.000000,4132100
2019-07-11,10075.000000,10250.000000,10075.000000,10250.000000,10250.000000,4959400
2019-07-12,10250.000000,10400.000000,10200.000000,10275.000000,10275.000000,4944000
2019-07-15,10400.000000,10400.000000,10275.000000,10375.000000,10375.000000,3802600
2019-07-16,10375.000000,10425.000000,10300.000000,10425.000000,10425.000000,2887800
2019-07-17,10425.000000,10650.000000,10350.000000,10625.000000,10625.000000,4657700
2019-07-18,10625.000000,10825.000000,10575.000000,10725.000000,10725.000000,3141500
2019-07-19,10800.000000,10850.000000,10725.000000,10850.000000,10850.000000,4500500
2019-07-22,10850.000000,10850.000000,10550.000000,10650.000000,10650.000000,2231900
2019-07-23,10650.000000,10825.000000,10625.000000,10725.000000,10725.000000,3789800
2019-07-24,10775.000000,10775.000000,10550.000000,10575.000000,10575.000000,2573700
2019-07-25,10600.000000,10825.000000,10575.000000,10700.000000,10700.000000,4393300
2019-07-26,10675.000000,10775.000000,10250.000000,10575.000000,10575.000000,5094200
2019-07-29,10600.000000,10600.000000,10150.000000,10550.000000,10550.000000,4662100
2019-07-30,10350.000000,10625.000000,10325.000000,10625.000000,10625.000000,6836000
2019-07-31,10700.000000,10725.000000,10600.000000,10700.000000,10700.000000,9353300
2019-08-01,10700.000000,10825.000000,10575.000000,10700.000000,10700.000000,5747800
2019-08-02,10600.000000,10875.000000,10600.000000,10850.000000,10850.000000,6844300
2019-08-05,10800.000000,11175.000000,10725.000000,10875.000000,10875.000000,10260200
2019-08-06,10875.000000,10875.000000,10625.000000,10775.000000,10775.000000,7514300
2019-08-07,10875.000000,11900.000000,10850.000000,11225.000000,11225.000000,8654200
2019-08-08,11100.000000,11500.000000,11100.000000,11175.000000,11175.000000,7458300
2019-08-09,11275.000000,11350.000000,11200.000000,11300.000000,11300.000000,4156500
2019-08-12,11350.000000,11450.000000,11225.000000,11275.000000,11275.000000,2861900
2019-08-13,11500.000000,11500.000000,11175.000000,11250.000000,11250.000000,7798500
2019-08-14,11400.000000,11400.000000,11275.000000,11350.000000,11350.000000,4994700
2019-08-15,11100.000000,11500.000000,11050.000000,11500.000000,11500.000000,7785500
2019-08-16,10750.000000,11650.000000,10750.000000,11625.000000,11625.000000,7037500
2019-08-20,11800.000000,11950.000000,11600.000000,11900.000000,11900.000000,11360000
2019-08-21,11875.000000,11900.000000,11725.000000,11800.000000,11800.000000,7288200
2019-08-22,11900.000000,11900.000000,11800.000000,11825.000000,11825.000000,7625300
2019-08-23,12075.000000,12075.000000,11700.000000,11775.000000,11775.000000,7936400
2019-08-26,11675.000000,11775.000000,11250.000000,11750.000000,11750.000000,6608200
2019-08-27,11850.000000,11850.000000,11725.000000,11750.000000,11750.000000,12491900
